,estimate,ci_low,ci_high
accuracy,0.923255,0.922398375,0.92419075
precision,0.6299799890849554,0.6212234510207454,0.638386287381912
recall,0.3804031416488164,0.37392211786675456,0.38826138298456636
specificity,0.9776229007717568,0.9769845373584242,0.9782355481234151
f1,0.4743673161878018,0.46843226678460237,0.4820987500809559
balanced_accuracy,0.6790130212102866,0.6758943453973616,0.6828577074722647
roc_auc,0.7427435285440903,0.7389284929769275,0.7467360638841158
pr_auc_average_precision,0.3970826069670583,0.3913435856907351,0.4043398798192014
brier_score,0.17044838466107162,0.16987362994937122,0.17103726940287736
mcc,0.45186294700844043,0.44570157017405676,0.46040404230253
tn,177725.0,177608.95,177836.375
fp,4068.0,3956.625,4184.05
fn,11281.0,11137.925,11399.0
tp,6926.0,6808.0,7069.075
