feature,importance_mean,importance_sd
symptom_count,0.046395938505464696,0.0003955803998971435
test_indication_contact with confirmed,0.04057149486948908,0.002440609811456461
has_any_symptom,0.03486227078459919,0.000527698715453443
age_60_and_above_yes,0.026773200494902637,0.003155923702786379
test_month,0.016449353242454577,0.00069787726440439
test_indication_other,0.007131521497600357,0.0018226934046034818
test_dayofweek,0.003876767794074043,0.002084853783259962
head_ache,0.0009095369008037979,0.0004711690040871446
test_indication_abroad,0.00020006865396260398,0.0001094593139125796
shortness_of_breath,-4.056977697756148e-05,4.8368901556114745e-05
sore_throat,-0.0002796734641917653,9.18908196277425e-05
has_multiple_symptoms,-0.0009742614642958447,0.0004105100330257832
fever,-0.0013847657540567494,0.0004477070582491962
cough,-0.0019290181697214192,0.0004837128680979397
gender_female,-0.0029747019192161717,0.0007650733228438057
gender_male,-0.003028422221688365,0.0007034061011665805
